Column1;Column2
;Street Name
Pacific St;83314
Greene St;83097
E 135TH ST (W/B) @ A;83076
Allen St;83041
W Broadway;82698
Dekalb Ave;82565
E 46th St;82509
Mercer St;82481
74th St;82271
35th Ave;82243
Kissena Blvd;82180
SB NOSTRAND AVE @ LI;82068
E 43rd St;81767
WB SEAVIEW AVE @ MAS;81648
FLATBUSH AVE (N/B) @;81634
11th Ave;81606
University Ave;81221
NB WOODHAVEN BLVD @;81060
PENNSYLVANIA AVE (S/;81011
Sunnyside Lot;80675
E 40th St;80402
E 39th St;80143
NB KNAPP ST @ VOORHI;79597
SB MAIN ST @ 63RD AV;79590
EB BOOTH MEMORIAL AV;79394
W 50th St;79226
NB ROCKAWAY BLVD @ 1;79212
NB 21ST ST @ 33RD RD;79177
SB CONEY ISLAND AVE;78932
E 19th St;78729
E 47th St;78631
W 14th St;78344
E 32nd St;78330
Park Pl;78029
E 30th St;77805
Clinton St;77742
E 96th St;77574
Front St;77014
E 58th St;76895
Pearl St;76874
E 49th St;76678
Fort Washington Ave;76650
EB E 161ST ST @ GERA;76412
E 56th St;76342
E 4th St;76181
NB RALPH AVE @ BERGE;76125
E 27th St;75859
E 29th St;75670
NB VAN DAM ST @ 48TH;75572
E 53rd St;75348
EB E GUN HILL RD @ T;75306
E 31st St;75222
NB GUY R BREWER BLVD;75215
Court St;75208
NB KINGS HWY @ TILDE;74858
WB AMBOY RD @ WOODHU;74634
34th Ave;74368
NB TRANTOR PL @ DIXO;74284
Creston Ave;74123
NB FARMERS BLVD @ 17;74046
E 21st St;74011
NB AVE OF THE AMERIC;73759
164th St;73661
BRUCKNER BLVD (E/B);73661
W 116th St;73570
Fresh Pond Rd;73521
E 59th St;73465
Henry St;73339
WB GOETHALS RD N @ J;73213
Bell Blvd;73101
E 87th St;72989
WB FLATLANDS AVE @ E;72737
W 22nd St;72415
E 11th St;72198
Montague St;72030
Bergen St;71981
WB UNION TPKE @ MAIN;71820
162nd St;71792
E 116th St;71687
West St;71666
W 72nd St;71631
NB KINGS HWY @ E 94T;71344
Crosby St;71232
E 44th St;71092
WB QUEENS BLVD @ 56T;70903
NB RALPH AVE @ E 66T;70658
BROADWAY;70651
EB E 14TH STREET @ U;70602
E 3rd St;70252
E 7th St;70196
Church St;70007
SB WATERS PL @ BRONX;69818
NB BAY PKWY @ BENSON;69755
NB MACDONOUGH PL @ D;69755
44th St;69727
EB UNION TPK @ 233RD;69545
Vanderbilt Ave;69524
E 48th St;69433
Union St;69300
Park Ave South;68698
33rd St;68362
Warren St;68292
37th St;68264
71st Ave;67956
NB KNAPP ST @ ALLEN;67935
WB QUEENS BLVD @ 36T;67893
SB CROPSEY AVE @ BAY;67879
Ludlow St;67844
EB 37TH ST @ FT HAMI;67732
W 31st St;67732
W 21st St;67648
E 17th St;67564
165th St;67186
NB GRAND CONCOURSE @;67067
NB MIDLAND PKWY @ HE;66934
St Johns Pl;66822
Avenue U;66752
E 55th St;66619
Franklin Ave;66528
New Utrecht Ave;66472
W 20th St;66360
EB S CONDUIT AVE @ 2;66073
SB UNIVERSITY AVE @;66031
18th Ave;65856
43rd St;65737
Lafayette Ave;65324
Broome St;65247
E 60th St;65226
E 38th St;65219
108th St;64995
36th St;64995
QUEENS BLVD (E/B) @;64708
Orchard St;64624
St Marks Ave;64512
EB 65TH ST @ 11TH AV;64477
NB BROADWAY @ W 228T;64463
NB OCEAN AVE @ BAY A;64274
161st St;64120
BORDEN AVE (E/B) @ G;64001
SB WEST ST @ WARREN;63889
42nd St;63854
W 57th St;63630
Bushwick Ave;63560
E 35th St;63539
NB BROADWAY @ W 251S;63427
85th St;63420
E 50th St;63371
43rd Ave;63329
McDonald Ave;63147
160th St;62762
Morris Park Ave;62629
45th St;62384
83rd St;62377
W 13th St;62377
W 18th St;62230
W 55th St;62195
29th St;62188
SB BELL BLVD @ 18TH;62146
Willoughby St;62090
Crescent St;62034
NB WILLIAMS AVE @ WO;62020
E 16th St;61873
76th St;61803
WILLIAMSBURG ST (S/B;61621
E Houston St;61586
Sanford Ave;61425
46th St;61222
WB ASTORIA BLVD @ 81;61103
E 6th St;61005
WB QUEENS BLVD @ 62N;60704
Parsons Blvd;60648
E 26th St;60445
EB METROPOLITAN AVE;60172
38th Ave;60165
80th St;60151
Bainbridge Ave;60088
35th St;59759
E 92nd St;59717
SB SHELL RD @ BOUCK;59626
81st St;59570
EB QUEENS BLVD @ 71S;59521
E 22nd St;59045
Unionport Rd;58632
NORTHERN BLVD (E/B);58590
EB AVE N @ E 22ND ST;58380
Ditmars Blvd;58191
Union Turnpike;58149
SB NOSTRAND AVE @ AV;57470
Elizabeth St;57414
47th St;57358
W 15th St;57316
WB ROCKLAND AVE @ SW;57120
W 29th St;56917
E 167th St;56791
Sterling Pl;56616
79th St;56483
SB RALPH AVE @ BEVER;56427
61st St;56364
Emmons Ave;56329
SB NOSTRAND AVE @ TI;56301
Bridge St;56273
E 57th St;56273
E 34th St;56224
W 11th St;56091
W 54th St;55916
SB HOLLIS CT BLVD @;55818
EB FT HAMILTON PKWY;55531
EB SHORE PKWY @ OCEA;55503
NB BELL BLVD @ 18TH;55356
WB BEACH CHANNEL DR;55237
NB SOUTHERN BLVD @ E;55195
SB MIDLAND AVE @ MAS;55034
14th Ave;54978
Essex St;54936
Linden Blvd;54733
NB CROPSEY AVE @ 25T;54607
NB EASTERN PKWY @ HE;54607
EB 65TH ST @ 16TH AV;54341
WB NORTHERN BLVD @ F;54299
CADMAN PLAZA (E/B) @;54187
EB ROCKLAND AVE @ BO;54110
EB MCLAUGHLIN AVE @;54096
Richmond Ave;53928
NB WILLIAMSBRIDGE RD;53914
NB CROPSEY AVE @ BAY;53634
EB NEPTUNE AVE @ W 2;53627
SB SOUTHERN BLVD @ E;53319
Murray St;53158
Putnam Ave;53074
Livingston St;53025
NB FLATBUSH AVE @ DE;52871
E 33rd St;52843
EB QUEENS BLVD @ 35T;52808
Astoria Blvd;52794
Prospect Pl;52619
W 34th St;52605
E 15th St;52584
40th Rd;52514
84th St;52514
NB KISSENA BLVD @ ME;52472
148th St;52444
SB 7TH AVE @ 92ND ST;52353
Greene Ave;52199
78th St;52178
36th Ave;52171
Sullivan St;52143
Willoughby Ave;52136
WB HEMPSTEAD AVE @ 9;52010
E 79th St;51898
12th St;51856
E 8th St;51807
Kent Ave;51191
Prospect Ave;51184
E Broadway;51086
SB 9TH AVE @ 28TH ST;50932
Utica Ave;50911
49th St;50869
SB BAY ST @ SWAN ST;50820
97th St;50708
W 4th St;50687
9th St;50554
Mulberry St;50421
E 84th St;50246
E 187th St;50036
WB 65TH ST @ 16TH AV;49861
48th St;49826
NB BEDFORD AVE @ GAT;49784
EB E 233RD ST @ MURD;49763
WB QUEENS BLVD @ 51S;49700
E 51st St;49350
WB E 161ST ST @ SHER;49322
NB LITTLE NECK PKWY;49301
23rd Ave;49105
SB MELROSE AVE @ E 1;49091
Flushing Lot #2;48993
150th St;48944
ARTHUR KILL RD (W/B);48797
Decatur Ave;48748
NB OCEAN PKWY @ BEVE;48748
Remsen St;48692
32nd St;48615
77th St;48496
EB BEACH CHANNEL DR;48328
Greenpoint Ave;48188
50th St;47992
EB HILLSIDE AVE @ MA;47992
Holland Ave;47684
E 37th St;47614
E 95th St;47306
E 115th St;47292
E 2nd St;47278
Merrick Blvd;47229
E 24th St;47096
E 188th St;47040
E 91st St;47012
E 93rd St;47012
EB QUEENS BLVD @ 55T;46942
BEACH CHANNEL DR (W/;46627
SB MILL AVE @ AVE U;46620
Sherman Ave;46571
W 53rd St;46571
SB WEBSTER AVE @ ITT;46382
NB AVE U @ PEARSON S;46375
WB W HOUSTON ST @ W;46347
30th St;46095
E 88th St;46018
Jackson Ave;45857
Skillman St;45808
75th St;45661
E 82nd St;45619
WB BRADDOCK AVE @ PO;45577
W FORDHAM RD (W/B) @;45367
Wythe Ave;45213
Sedgwick Ave;45199
103rd St;45171
St Marks Pl;44856
EB E 163RD ST @ FOX;44849
SO CONDUIT AVE (E/B);44758
SB KNAPP ST @ AVE V;44632
Thompson St;44618
E 36th St;44569
WB E 135TH ST @ ALEX;44520
BRONX RIVER PKWY OFF;44443
34th St;44373
99th St;44324
Davidson Ave;44184
Central Park West;44163
EB QUEENS BLVD @ 63R;44121
WB UNION TPK @ 235TH;44114
90th St;44051
GRAND CONCOURSE (N/B;43960
Duffield St;43834
Sutphin Blvd;43785
73rd St;43757
